,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
385,202105,패션,평일,금,A.02-06시,F,A.2O대,1168
386,202105,골프용품,평일,화,D.14-18시,M,B.3O대,120
387,202005,취미용품,휴일,일,B.06-10시,F,B.3O대,144
388,202005,패션,휴일,금,B.06-10시,M,E.60대이상,44
389,201905,식료품,휴일,월,F.22-02시,F,E.60대이상,76
390,201905,애완용품,평일,화,D.14-18시,F,A.2O대,342
391,201905,스포츠의류용품,평일,월,B.06-10시,F,D.5O대,47
392,201905,차량정비_부품,휴일,토,F.22-02시,M,D.5O대,63
393,202005,인테리어,평일,수,A.02-06시,F,D.5O대,134
394,202105,취미용품,휴일,일,B.06-10시,M,C.4O대,329
395,202105,유아용품,평일,수,D.14-18시,F,B.3O대,1561
396,201905,인테리어,평일,수,A.02-06시,F,A.2O대,139
397,201905,가전,평일,화,D.14-18시,M,D.5O대,712
398,201905,유아용품,휴일,월,A.02-06시,F,A.2O대,21
399,201905,가전,평일,월,C.10-14시,M,E.60대이상,409
400,202005,홈쇼핑,평일,화,A.02-06시,F,E.60대이상,790
401,202105,애완용품,휴일,수,A.02-06시,F,B.3O대,52
402,202105,애완용품,평일,금,F.22-02시,F,C.4O대,501
403,202105,유아용품,휴일,일,A.02-06시,M,C.4O대,83
404,202005,생활/사무용품,휴일,화,C.10-14시,M,C.4O대,1114
405,202105,식료품,휴일,일,F.22-02시,F,B.3O대,9755
406,202105,애완용품,휴일,토,B.06-10시,F,E.60대이상,54
407,202105,패션,휴일,토,D.14-18시,M,A.2O대,2532
408,202105,인테리어,휴일,수,D.14-18시,M,C.4O대,875
409,201905,유아용품,평일,목,F.22-02시,F,E.60대이상,48
410,202105,애완용품,평일,화,A.02-06시,F,E.60대이상,10
411,202105,취미용품,휴일,수,F.22-02시,F,C.4O대,254
412,202105,인테리어,평일,목,E.18-22시,F,B.3O대,1958
413,202005,차량정비_부품,평일,월,D.14-18시,F,B.3O대,304
