Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,53044.589844,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,51260.792969,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,48913.679688,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,48913.679688,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,46895.179688,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,45909.390625,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,44407.246094,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,42811.210938,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,40323.281250,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,42623.445313,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,39900.800781,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,44078.644531,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,45674.679688,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,44876.664063,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,45346.082031,39896178
2020-03-30,47050.000000,48350.000000,46550.000000,47850.000000,45255.289063,26797395
2020-03-31,48000.000000,48500.000000,47150.000000,47750.000000,45160.710938,30654261
2020-04-01,47450.000000,47900.000000,45800.000000,45800.000000,43316.449219,27259532
2020-04-02,46200.000000,46850.000000,45350.000000,46800.000000,44262.226563,21621076
2020-04-03,47400.000000,47600.000000,46550.000000,47000.000000,44451.382813,22784682
2020-04-06,47500.000000,48800.000000,47250.000000,48700.000000,46059.199219,23395726
2020-04-07,49650.000000,50200.000000,49000.000000,49600.000000,46910.390625,31524034
2020-04-08,49600.000000,49750.000000,48600.000000,48600.000000,45964.621094,25010314
2020-04-09,49750.000000,49800.000000,48700.000000,49100.000000,46437.500000,22628058
2020-04-10,48950.000000,49250.000000,48650.000000,49250.000000,46579.367188,17839111
2020-04-13,48650.000000,48900.000000,48300.000000,48300.000000,45680.890625,14431800
2020-04-14,48800.000000,49200.000000,48300.000000,49000.000000,46342.929688,14206216
2020-04-16,49350.000000,49350.000000,48550.000000,49000.000000,46342.929688,23349760
2020-04-17,50800.000000,52000.000000,50300.000000,51400.000000,48612.789063,32041675
