CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,,,
202105,1,휴일,일,A.02-06시,M,C.4O대, 83 ,,,
202005,1,휴일,화,C.10-14시,M,C.4O대," 1,114 ",,,
202105,4,휴일,일,F.22-02시,F,B.3O대," 9,755 ",,,
202105,3,휴일,토,B.06-10시,F,E.60대이상, 54 ,,,
202105,2,휴일,토,D.14-18시,M,A.2O대," 2,532 ",,,
202105,1,휴일,수,D.14-18시,M,C.4O대, 875 ,,,
201905,1,평일,목,F.22-02시,F,E.60대이상, 48 ,,,
202105,3,평일,화,A.02-06시,F,E.60대이상, 10 ,,,
202105,1,휴일,수,F.22-02시,F,C.4O대, 254 ,,,
202105,1,평일,목,E.18-22시,F,B.3O대," 1,958 ",,,
202005,1,평일,월,D.14-18시,F,B.3O대, 304 ,,,
201905,1,휴일,수,D.14-18시,M,D.5O대, 127 ,,,
202005,1,평일,월,C.10-14시,F,C.4O대, 117 ,,,
201905,1,평일,목,F.22-02시,F,E.60대이상, 66 ,,,
202105,1,평일,금,F.22-02시,F,E.60대이상, 60 ,,,
201905,1,휴일,수,C.10-14시,M,D.5O대, 150 ,,,
201905,1,평일,월,B.06-10시,M,C.4O대, 60 ,,,
202005,4,평일,화,B.06-10시,F,C.4O대," 3,289 ",,,
202105,2,휴일,수,A.02-06시,F,C.4O대, 648 ,,,
202105,3,평일,금,B.06-10시,M,A.2O대, 53 ,,,
201905,1,휴일,일,A.02-06시,M,D.5O대, 12 ,,,
202005,2,휴일,일,C.10-14시,M,D.5O대," 1,989 ",,,
202105,2,평일,목,F.22-02시,M,A.2O대, 471 ,,,
202105,1,평일,월,E.18-22시,M,C.4O대, 953 ,,,
202105,1,평일,금,C.10-14시,F,C.4O대, 249 ,,,
