,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
459,202005,0,1,4,2,1,4,65,,,
460,201905,2,1,5,5,1,0,43,,,
461,202105,0,0,1,3,1,0,467,,,
462,201905,1,1,3,4,0,3,711,,,
463,201905,1,0,0,2,0,0,2022,,,
464,202005,1,0,1,3,0,1,938,,,
465,201905,0,0,3,1,1,3,29,,,
466,202005,0,1,5,4,1,3,448,,,
467,201905,0,0,0,3,1,3,110,,,
468,202005,3,1,4,3,1,2,3842,,,
469,202105,1,0,3,4,1,4,951,,,
470,202005,0,1,0,5,0,0,59,,,
471,202005,0,0,0,1,0,1,31,,,
472,202005,0,0,1,3,1,1,971,,,
473,201905,0,0,6,3,0,4,134,,,
474,202005,2,1,6,3,1,0,31,,,
475,201905,1,1,3,2,1,2,87,,,
476,202105,0,0,1,5,1,2,683,,,
477,202105,1,0,3,0,1,2,869,,,
478,202105,3,1,2,2,0,2,3710,,,
479,202005,0,1,5,0,1,1,135,,,
480,202105,0,0,0,5,1,0,618,,,
481,202005,0,0,3,1,0,1,25,,,
482,201905,0,1,3,5,1,0,44,,,
483,201905,1,0,2,4,1,1,3979,,,
484,202005,0,0,0,1,0,2,1118,,,
485,202105,0,0,6,5,0,1,2651,,,
486,202005,1,0,6,1,1,1,688,,,
487,201905,1,0,1,1,1,1,703,,,
488,202105,0,1,2,4,1,4,57,,,
489,202105,2,0,3,2,0,1,1267,,,
490,202105,1,1,4,4,0,4,1382,,,
491,201905,1,0,6,0,1,0,381,,,
492,201905,1,0,6,3,1,0,410,,,
493,202005,1,0,0,5,1,4,26,,,
494,201905,2,1,2,5,0,0,109,,,
495,202005,1,0,0,2,1,2,1252,,,
496,202105,0,0,1,2,0,0,100,,,
497,201905,0,1,3,4,1,4,3,,,
498,202105,1,1,4,4,0,1,1166,,,
499,202105,1,0,1,0,1,2,694,,,
500,201905,1,0,2,2,0,2,3082,,,
501,202105,0,0,2,2,0,3,308,,,
502,202105,0,1,4,2,0,2,713,,,
503,202005,1,1,4,5,1,0,588,,,
504,201905,2,0,6,2,1,0,91,,,
505,202005,0,1,0,4,0,3,212,,,
506,202005,0,0,1,1,0,0,479,,,
507,202105,2,1,2,5,0,4,20,,,
508,202005,0,0,1,5,1,0,411,,,
509,202105,0,0,0,2,0,1,89,,,
510,202005,1,1,0,1,0,3,26,,,
511,202105,3,1,2,4,0,3,2703,,,
512,201905,3,1,5,0,0,3,102,,,
513,201905,1,1,3,5,1,4,11,,,
514,201905,1,0,0,3,0,0,307,,,
515,201905,1,0,1,3,0,2,640,,,
516,201905,1,0,0,4,1,1,393,,,
517,202005,0,0,0,0,1,1,12,,,
518,201905,3,1,4,5,0,4,231,,,
519,201905,0,0,3,3,0,0,652,,,
520,202005,0,0,3,5,0,1,560,,,
521,202105,1,0,1,0,0,0,1515,,,
522,202105,1,0,0,1,0,2,2170,,,
523,202005,0,1,0,5,0,4,11,,,
524,202105,0,0,1,3,0,2,302,,,
525,201905,0,0,3,3,0,2,491,,,
526,202005,0,0,6,1,0,4,38,,,
527,201905,3,0,1,3,0,2,5534,,,
528,202005,3,0,2,4,0,2,8468,,,
529,202105,1,1,4,4,0,0,622,,,
530,201905,0,1,3,4,1,4,10,,,
531,202105,3,0,0,5,1,0,812,,,
532,202005,0,0,6,4,0,2,430,,,
533,202005,3,0,2,2,0,4,1409,,,
534,201905,0,0,2,2,0,1,5939,,,
535,202005,3,1,6,1,0,4,123,,,
536,202005,2,0,2,1,0,2,319,,,
537,202105,0,1,5,5,1,2,1011,,,
538,202105,0,0,1,2,1,1,1085,,,
539,201905,2,0,2,4,0,0,273,,,
540,202105,0,0,6,5,0,1,50,,,
